Base License Number,Base Name,DBA,Year,Month,Month Name,Total Dispatched Trips,Total Dispatched Shared Trips,Unique Dispatched Vehicles
B01553,CITY LINE CAR SERVICE INC,,2017,10,October,"8,831",0,46
B00625,"CENTRAL CAR SERVICES,INC.",,2020,2,February,"3,521",0,29
B02920,AMAZING CAR AND LIMO SERVICE INC,,2020,6,June,931,0,6
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2020,7,July,12,0,5
B00987,MARLBORO CAR SERVICE INC.,,2018,11,November,"2,541",0,11
B03038,"SOUTH BRONX TRANSPORTATION,INC.",,2018,11,November,27,0,2
B03204,EXTRA CAR SERVICE LLC,,2020,9,September,772,0,12
b00802,BELL CAR SVC INC,,2015,11,November,"10,202",0,51
B02401,NORTHSIDE BK LLC,,2015,12,December,"1,411",0,10
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2018,1,January,"2,190",0,9
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2019,9,September,"1,302",0,9
B03157,CAPRICE CAR SERVICE CORP.,,2019,5,May,"5,830",0,32
B00208,ERNEST SCHWARZ INC,,2017,10,October,200,0,6
B03346,ASHER TRANSPORTATION INC,,2021,10,October,725,0,7
B02534,DV LUXURY TRANSPORTATION CORPORATION,,2020,12,December,"2,949",0,32
B02951,"APPROACH QUALITY TRANSPORTATION, LLC",,2018,7,July,949,0,15
b01009,UNITED LIMO C/M SVC CORP,,2016,3,March,"1,770",0,14
B01392,NEW AMERICAN CLASS L/C SERVICE CORP.,,2021,7,July,293,0,3
B00756,T & S HILLSIDE INC.,RED CAP CAR SERVICE,2019,7,July,"6,166",0,40
B02508,"DISPATCH CENTRAL, INC.",,2016,1,January,48,0,10
B02418,PLUSH SERVICES CORP,,2017,5,May,172,0,13
B02330,"OCHO LUXURY CAR, INC.",ACAPOLCO EXPRESS,2016,12,December,"1,386",0,15
B02787,SEMPERIDE LLC,,2016,11,November,89,0,11
B01045,CAPRICE CAR SERVICE NO.2 INC.,,2017,11,November,"3,665",0,26
B02975,LI YANG LIMOUSINE INC,,2020,3,March,"2,031",0,23
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2018,4,April,"1,738",0,30
B01625,GLOBE CAR SERVICE INC,,2015,10,October,"2,837",0,12
B00254,XYZ TWO WAY RADIO,,2018,11,November,"14,187",0,224
B02825,GUADALUPANA II CAR & LIMO INC,,2020,8,August,"3,898",0,19
B02787,SEMPERIDE LLC,,2017,2,February,39,0,9
B00031,QUEENS VILLAGE INC.,,2020,6,June,408,0,3
B02491,CALL THREES LLC,,2021,1,January,23,0,2
B00254,XYZ TWO WAY RADIO,,2016,4,April,"22,299",0,306
B01020,MICHAELS CAR SERVICE INC.,UNION LIMO AND CAR SERVICE INC,2021,7,July,439,0,9
B00948,510 CAR SERVICE CORP,,2021,10,October,"1,089",0,9
B00692,"CHEERS DISPATCH,INC.",SEVENTH AVE CAR SERVICE,2016,2,February,"5,477",0,15
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2017,5,May,"3,670",0,19
B00991,BLUE LANE CAR SERVICE INC,,2020,4,April,29,0,3
B01721,W.K. CAR & LIMO SERVICE INC,,2020,2,February,"1,574",0,20
B01803,"V.I.P. CONNECTION, INC.",CARLINK,2021,5,May,"1,010",0,41
B01455,REPUBLICA CAR & LIMO SERVICE CORP.,,2017,11,November,"4,762",0,36
B00221,PROFESSIONAL CAR SERVICE INC,,2019,8,August,"2,098",0,39
B02727,OSCAR LIMOUSINE INC,,2020,1,January,290,0,5
B00492,BLU-WHITE ASSOCIATED TRANSPORTATION SERVICE INC,,2016,7,July,"4,889",0,21
B02248,HYBRID LIMO EXPRESS INC.,,2017,7,July,136,0,1
B02293,XPRESS TRANSPORT & MULTI SERVICE INC.,,2017,11,November,"1,529",0,9
B03156,EPIC CAR SERVICE INC.,,2020,1,January,"2,990",0,41
B00248,YELLOWSTONE TRANSPORTATION INC.,YES CAR SERVICE,2017,1,January,"21,694",0,108
B03107,JD XPRESS INC.,,2020,5,May,955,0,11
B02182,"FINEST CAR SERVICE, LLC",,2017,10,October,"11,784",0,94
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2019,7,July,174,0,3
B02856,MARIACHI CAR SERVICE INC,,2016,11,November,"1,337",0,5
B02892,SEAMAN EXPRESS CORP.,,2020,9,September,20,0,5
B03094,"JBE LIMO, INC",,2019,4,April,47,0,5
B01510,JPAN TRANSPORTATION INC,PARSONS CAR SERVICE,2020,5,May,103,0,1
B01381,CLASSIC CAR SERVICE CORP.,PAISA CLASSIC,2021,1,January,"1,108",0,13
B03031,ALLIANCE LIMOUSINE INC,,2018,11,November,158,0,11
B01452,AREAS TRANSP INC,,2019,11,November,"4,239",0,12
B01741,MONACO LIMO & CAR SERVICES INC.,,2015,4,April,"2,399",0,21
B02460,CABOT LIMO NY CORP.,,2016,1,January,662,0,20
B00889,MEXICANA CAR SERVICE INC.,,2021,9,September,"2,046",0,12
B01129,GTWY INC,GATEWAY CAR & LIMO SVCE,2018,6,June,"4,875",0,15
B03060,EASTLAND BLACK CARS CORP,,2021,10,October,"7,839",0,35
B02103,A & S LIMOUSINE SERVICE CORP,,2018,4,April,"21,550",0,131
B00112,"AYY&M TRANSPORTATION, LLC",HARBORVIEW CAR SERVICE,2017,5,May,"4,608",0,13
B02970,FLYTE LINE TRANSPORTATION LLC,ADDISON LEE,2020,11,November,307,0,25
LYFT,LYFT,LYFT,2015,7,July,"194,815",0,"3,895"
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2018,10,October,"8,616",0,102
B01444,REGO PARK EXPRESS INC.,,2018,1,January,"3,001",0,17
B00411,FONE-A-CAR INC,,2021,9,September,413,0,132
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,2015,4,April,288,0,14
B02213,"EXPRESS 11 CAR SERVICE, INC.",,2016,12,December,"3,767",0,20
B02901,GALLANT LUXURY SERVICE CORP.,,2020,5,May,398,0,4
B01653,ART'S PLACE INC.,ON TIME CAR SERVICE,2018,1,January,"2,437",0,16
B02899,NEW BLACK LUXURY CARS CORP,,2021,1,January,86,0,34
B03292,PIBE TRANSPORTATION INC.,,2021,3,March,240,0,11
B01339,R C AUDUBON SVC INC,,2020,9,September,"6,892",0,50
B01467,NEW EXPERIENCE #1 INC,,2017,1,January,"12,309",0,60
B00256,FAST OPERATING CORP,CARMEL C/L SVCE,2017,11,November,"55,826",0,676
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,2021,7,July,"3,371",0,21
B00401,TREMONT DISPATCHING CORP,,2017,1,January,"1,217",0,7
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2016,9,September,"15,680",0,109
B00652,RESCUE C/S INC,,2018,2,February,"2,274",0,15
B02207,"EASTERN LUXURY, INC.",,2017,5,May,409,0,89
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2019,8,August,"28,957",0,180
B02423,"77 EXPRESS CAR & LIMO SERVICE, INC.",,2015,12,December,808,0,3
B00319,AVENTINE AUTO RENTAL INC,SAFEWAY CAR SVCE,2018,2,February,860,0,8
B01061,DAT RADIO DISP INC,,2019,8,August,"24,897",0,110
B03284,MYLE WORLDWIDE INC,,2021,7,July,"9,805",0,148
B01312,BROOKLYN RAD DISP INC,,2018,9,September,"3,742",87,26
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2017,2,February,"3,355",0,27
B02515,OLS LIMOUSINE SERVICE INC.,,2018,1,January,110,0,9
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2015,4,April,"4,531",0,19
B01118,INTERNATIONAL CAR SERVICE INC.,,2020,5,May,"1,037",0,14
B01326,DEBORAH C/L SVC INC,,2017,7,July,"1,315",0,27
B01109,UNITED EXP C/L SVCE,,2016,11,November,"9,711",0,44
B02657,MALCOLM LIMO EXPRESS CORP.,,2021,6,June,"3,475",0,32
B02795,LIMO SEVEN TRANSPORTATION INC,,2018,3,March,"4,721",0,25
B02416,"NEW STORM CAR SERVICE, INC.",,2018,1,January,"6,461",0,8
B03266,HOYT LIMO & SERVICE CORP.,,2020,9,September,"8,059",0,39
B01311,DISCOUNT CAR SVCE,,2016,1,January,"1,832",0,10
B01998,FIRST CORPORATE SEDANS INC.,,2015,10,October,"12,963",0,331
B00647,KISS CAR SERVICE INC,,2021,4,April,"13,357",0,72
B01282,NEW LOTS C/S INC,,2016,4,April,"25,429",0,82
B02694,CITY LIMOUSINE TRANSPORTATION INC.,,2017,3,March,189,0,11
B00448,DIAL CAR INC.,,2015,6,June,172,0,18
B03041,PUEBLA CITY INC.,,2020,4,April,216,0,3
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2015,10,October,529,0,24
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2016,1,January,"1,403",0,61
B00619,"HOLA CAR SERVICE,INC.",,2016,6,June,637,0,6
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2019,11,November,"3,930",0,64
LYFT,LYFT,LYFT,2021,2,February,"3,237,166",0,"29,617"
B02360,BRIDGES LIMOUSINE INC,EXCELLENT LIMOUSINE,2018,1,January,106,0,5
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2016,5,May,"5,480",0,144
B01259,THE NEW BROOKLYN C/S INC,,2015,11,November,"40,472",0,127
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2020,5,May,4,0,1
B02655,LONG ISLAND CITY CAR AND LIMO INC.,A2B CORPORATE SEDAN,2018,8,August,56,0,5
B02535,LFS LIMO CORP.,,2020,10,October,7,0,2
B01679,OLLIE'S TRANSPORTATION SERVICE,OLLIE'S AIRPORT SERVICE,2019,12,December,778,0,8
B03111,"SELECT TRANS,INC",,2019,3,March,111,0,8
B03106,LA NORTENA CAR & LIMO INC,,2019,8,August,276,0,3
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2015,9,September,"5,586",0,29
B00887,DIAL 7 CAR & LIMOUSINE SERVICE INC.,,2021,6,June,"9,460",0,198
B01341,A NEW DAY RAD DISP INC,,2020,8,August,143,0,6
B02702,NEW SAFARI CAR & LIMO INC.,,2017,12,December,47,0,1
B01285,UNION RADIO DISPATCH INC,,2017,3,March,"34,382",0,156
B02674,ELAL CAR LIMO SERVICE LLC,FIFTH AVENUE CAR LIMO SERVICE,2015,8,August,808,0,7
B03137,"IOT SERVICES, LLC",,2021,10,October,60,0,3
B00811,LLAMA LIMO C/S CORP,METROGREEN CAR SERVICE,2021,2,February,596,0,24
B03199,RINCON TRANSPORTATION LLC,,2021,9,September,249,0,4
B02667,LEON LUXURY LIMO INC,,2017,8,August,138,0,4
B02917,C & A BLACK CAR CORP.,,2017,8,August,197,0,24
B02050,"MAZIN  CAR & LIMO SVC., LLC",,2016,11,November,"8,913",0,12
B02531,CLEAN AIR CAR SERVICE AND PARKING CORP.,,2019,9,September,"7,875",0,35
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2021,3,March,20,0,4
B02569,LAPUMA GO GREEN LLC,GO GREENRIDE,2018,7,July,153,0,18
B02735,"BEST DEAL CAR SERVICE 2,INC.",,2019,4,April,"23,526",0,126
B01259,THE NEW BROOKLYN C/S INC,,2020,6,June,"3,245",0,13
B02352,"SUPER FAST LIMOUSINE SERVICE, INC.",,2018,9,September,"5,113",0,28
B03314,"JBK NEW YORK, INC.",COMFORT LIMO NYC,2021,5,May,306,0,19
B02096,"CET GROUP, INC",,2020,7,July,37,0,11
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,2017,9,September,60,0,7
B02913,DAT TRANSPORTATION INC.,,2019,2,February,265,0,11
B00196,NEW EASY WAY RADIO DISP INC,,2021,7,July,28,0,2
b00727,RECHEV OF BROOKLYN INC,,2016,3,March,"1,577",0,6
B01726,SUPER CLASS RADIO DISP INC,,2019,6,June,"10,105",0,56
B01091,A & R GOLDEN EXP INC,,2019,7,July,"4,577",0,6
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2019,2,February,"2,896",0,11
B02550,AGAPE LUXURY CORP.,,2017,6,June,"31,475",0,307
B01315,"V.I.T. CAR SERVICE, INC.",,2015,1,January,"45,443",0,179
B00628,"CONCORD LIMOUSINE 1, LLC",,2016,6,June,"18,328",0,350
B01338,3210 WEBSTER AV PRESTIGE C/S,,2021,4,April,"3,775",0,62
B02832,NYC FLY WHEELS INC.,,2018,9,September,247,0,11
B01406,GOTHAM CAR SERVICE INC.,LEGEND CAR SERVICE,2018,4,April,377,0,5
B03048,ATLANTIS TRANSPORTATION SERVICES INC,,2018,7,July,"2,057",0,12
B02729,LOW TOUCH LUXURY INC.,,2015,12,December,"1,626",0,62
B02774,ALFRED HOLDINGS INC.,ALFRED EXECUTIVE TRANSPORTATION,2020,2,February,150,0,6
B02968,NEW GENERATION BLACK CAR TRANSPORTATION CORP.,,2018,6,June,"1,446",0,10
B00653,ROYAL CAR & LIMO SERVICE INC.,,2021,3,March,191,0,2
B01051,B Q N C/S CORP,,2016,1,January,"40,992",0,206
B02279,MATAMOROS CAR SERVICE INC.,,2021,4,April,"2,776",0,8
B02303,MINEOLA TRANSPORTATION INC.,,2016,2,February,167,0,2
B01367,"ROYAL DISPATCH SERVICES, INC.",EXECUTIVE CARS,2016,8,August,"3,831",0,92
B01800,EMPIRE INTERNATIONAL LTD.,,2017,12,December,"7,555",0,266
B01963,AFRO CAR SERVICE CORP,,2021,5,May,"2,163",0,11
B00084,AUTOMOTIVE SVC SYSTEM INC,,2017,6,June,59,0,11
B02316,"AJAY CAR SERVICE, LLC.",,2016,8,August,"1,080",0,14
B02997,KALUMA TRANSPORTATION GROUP INC.,,2019,11,November,28,0,11
B02965,ORION LUXURY CORP,,2019,12,December,478,0,11
B01437,MERENGUE LIMO & C/S INC,,2020,6,June,"12,994",0,74
B00459,910 CAR SERVICE INC,,2017,1,January,"8,164",0,48
B00310,WATSON CAR SERVICE INC.,,2015,10,October,"40,769",0,176
B03055,EXPLORER EXPRESS INC,,2017,8,August,"1,555",0,22
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,2020,2,February,71,0,8
B01312,BROOKLYN RAD DISP INC,,2016,5,May,"23,034",0,192
B02249,"LA RAZA CAR SERVICE, INC.",,2019,12,December,"1,872",0,10
B02833,ADVANCED LUXURY LIMO SVC. INC.,,2018,12,December,"1,881",0,7
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2020,7,July,"8,943",0,78
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,2020,11,November,"5,259",0,28
B00889,MEXICANA CAR SERVICE INC.,,2017,2,February,"15,498",0,70
B00823,"EASTERN L.P.B.,INC.",EASTERN CAR SVCE,2018,7,July,"9,280",0,74
B01250,BELLE MANAGEMENT CORP.,GLEN BELLE CAR SERVICE,2017,10,October,361,0,9
B01285,UNION RADIO DISPATCH INC,,2015,8,August,"36,628",0,190
B00272,BIG APPLE CAR INC,,2018,10,October,"3,155",0,94
B03250,SALAM CAR SERVICE INC.,,2020,10,October,931,0,9
B00911,"RIVERSIDE PLUS RADIO DISPATCH, INC.",NEW WEBSTER CAR & LIMO SERVICE,2019,5,May,"8,909",0,46
B01470,AGUILA CAR & LIMO CORPORATION,VELOTAX CAR SERVICE,2021,6,June,"3,435",0,22
B01328,DV LUXURY CAR SERVICE INC,RIDE SAFE CAR SERVICE,2017,11,November,"2,153",0,42
B00536,"WINTHROP HOLDING OF NEW YORK, INC",,2017,12,December,"6,021",0,23
B02254,"FINESSE GROUP LIMOUSINE,INC.",,2016,3,March,"1,336",0,6
B01309,ACME LIMOUSINE LLC,ARROW TRANSPORTATION,2019,5,May,304,0,18
B01938,"ALL STAR LIMOUSINE SERVICE, LTD.",,2019,10,October,"2,740",0,56
B02661,MIC-LOU CAR SERVICES_LLC,LULU CAR SERVICES,2017,11,November,"1,459",0,2
B02599,CMS LIMO INC.,,2019,8,August,331,0,10
B02401,NORTHSIDE BK LLC,,2020,10,October,"1,255",0,32
B00078,R & R ROAD LIMO SVCE INC,,2016,1,January,"1,221",0,48
B02950,WMC SERVICE INC,,2017,1,January,156,0,5
B03121,ASSURE CAR SERVICES INC,,2019,3,March,19,0,1
B02627,A PEGASUS LIMOUSINE CORP.,APL LIMO,2017,1,January,194,0,11
B00014,NY ONE CORP CAR INC,,2015,4,April,"12,552",0,201
B02406,MY SEDAN LLC,,2021,8,August,165,0,2
B02823,AAA FAMILY LIMOUSINE SERVICE INC,,2019,11,November,37,0,4
B01079,THE METRO MARINE CAR SERVICE INC,MARINE LIMO & CAR SERVICE,2020,12,December,"2,140",0,6
B02034,NEW IMPERIAL CAR SERVICE INC,,2015,12,December,"2,534",0,15
B02003,"AVALON CORPORATE CAR,INC.",,2017,3,March,"3,850",0,96
B02162,A B C SHUTTLE SERVICES CORPORATION,ABC CAR SERVICES,2020,3,March,"2,669",0,42
B02856,MARIACHI CAR SERVICE INC,,2020,12,December,561,0,12
B02759,"LAPUMA TRANSPORTATION GROUP,LLC",LAPUMA,2017,5,May,"5,601",0,51
B01614,R TRANSPORT INC,,2016,11,November,932,0,10
B02848,V R WORLDWIDE INC,,2019,8,August,9,0,1
B02728,NEWTOWN PRIVATE CAR SERVICE INC.,,2020,5,May,"3,239",0,16
B02897,FC LIMOUSINE INC,,2017,8,August,313,0,18
B02026,A RIDE FOR ALL LLC,,2021,2,February,7,0,1
B02817,ANYTIME FORSYTH TRANSPORT CORP,,2017,3,March,5,0,4
B02998,GENESIS LUXURY TRANSPORTATION CORP.,,2019,10,October,"4,928",0,30
B02229,NEW FAT INC.,ELEGANTE,2017,7,July,"5,595",0,66
B01625,GLOBE CAR SERVICE INC,,2019,11,November,"1,032",0,4
B02629,CARLUX LIMO INC.,,2021,4,April,151,0,7
B03160,"CURB TRANSPORTATION SERVICES,LLC",CURB MOBILITY-CURB TRANS,2019,7,July,"14,216",0,394
B02769,MAVROS TRANSPORTATION INC,,2021,7,July,"1,277",0,11
B00653,ROYAL CAR & LIMO SERVICE INC.,,2017,9,September,962,0,7
B01944,"DAG NETWORK TRANSPORTATION,CORP",,2019,9,September,216,0,11
b00990,"MIRAGE LIMOUSINE SERVICE, INC.",UFO PVT C/L SERVICE,2016,7,July,77,0,1
B02243,BARONAS LUXURY II INC,,2016,11,November,"1,144",0,11
B01269,DIVISION CAR & LIMO INC.,NATANYA TRANSPORTATION,2021,1,January,571,0,3
B02243,BARONAS LUXURY II INC,,2019,2,February,1,0,1
B03041,PUEBLA CITY INC.,,2019,7,July,"4,230",0,19
B01984,NY 88 EXPRESS CORP.,,2017,4,April,"26,917",0,147
B01445,J T TRANSPORTATION CO INC,,2020,8,August,"1,849",0,19
B03002,"REYNO,INC.",,2020,12,December,"2,629",0,29
B00013,LOVE CORPORATE CAR INC,,2020,11,November,416,0,94
B03011,GOOD DAY TRANSPORTATION INC,,2018,9,September,23,0,3
B02841,"SKYWAY EXECUTIVE SERVICE, INC",,2016,5,May,597,0,13
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2021,9,September,704,0,4
B02934,JUN'S LIMOUSINE AND CAR SERVICE LLC,,2021,1,January,371,0,4
B01623,JAMAICA EXPRESS CAR SERVICE INC.,SUNSHINE CAR SERVICE,2017,9,September,"2,055",0,9
B00296,PRIME TIME TRANS. INC,,2020,6,June,328,0,7
B02285,"VALERA GLOBAL, INC.",,2016,10,October,"4,281",0,91
b00855,MAGNIFICENT 7'S ENTP INC,,2019,1,January,"1,176",0,5
B01311,DISCOUNT CAR SVCE,,2015,10,October,"1,914",0,10
B02391,"BAYRIDGE EXPRESS, INC",,2021,6,June,480,0,5
B02657,MALCOLM LIMO EXPRESS CORP.,,2015,11,November,561,0,31
B02566,GSL LIMOUSINES CORP.,,2018,1,January,"1,070",0,27
B02670,STRIDE TRANSPORTATION INC.,,2021,3,March,173,0,15
B00932,NATASHAS GRP CAR CORP,,2017,2,February,"3,787",0,29
B01444,REGO PARK EXPRESS INC.,,2017,8,August,"3,167",0,19
B01222,ANDREA CAR SVCE INC,,2015,4,April,34,0,7
B03206,KIDMOTO TECHNOLOGIES LLC,,2020,3,March,42,0,10
B01482,SHORE TRANSPORTATION INC,SEASIDE CAR SERVICE,2016,4,April,"5,066",0,23
B02702,NEW SAFARI CAR & LIMO INC.,,2018,2,February,179,0,6
B02410,"POLO LIMOUSINE, CORP.",,2016,7,July,"1,385",0,43
B02670,STRIDE TRANSPORTATION INC.,,2019,5,May,"1,112",0,46
B00459,910 CAR SERVICE INC,,2021,1,January,319,0,14
B02787,SEMPERIDE LLC,,2016,5,May,52,0,9
B01667,"NEW GOLDEN HORSE C/L SVC,INC.",,2019,7,July,"28,342",0,177
B02133,"TWR CAR & LIMO, INC.",,2016,3,March,"3,578",0,48
B01700,LINDEN EXPRESS CAR SERVICES INC.,,2019,12,December,835,0,5
B01899,"ALLSTATE PRIVATE CAR & LIMO,INC",,2016,11,November,"8,383",0,69
B01308,LIL'D DISPATCH INC.,STRICTLY CAR SERVICE,2017,6,June,"4,454",0,23
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,2021,10,October,"3,537",0,94
B03023,HERMANY LIMO TRANSPORTATION LLC,,2020,6,June,887,0,8
B00625,"CENTRAL CAR SERVICES,INC.",,2018,4,April,"2,545",0,19
B03055,EXPLORER EXPRESS INC,,2020,10,October,991,0,20
B02797,CJ LIMOUSINE LLC,,2017,6,June,459,0,12
B00412,NYC 2 WAY INTERNATIONAL LTD,NYC TWO WAY INC.,2020,8,August,"4,291",0,53
B02501,"EAST HANOVER AUTO SALES, INC.",MY LIMOUSINE SERVICE,2016,6,June,66,0,10
B00084,AUTOMOTIVE SVC SYSTEM INC,,2015,10,October,515,0,29
B02724,PRIME TIME LIMOUSINE INC.,PRIME TIME GLOBAL,2016,4,April,226,0,20
B01625,GLOBE CAR SERVICE INC,,2016,8,August,"2,420",0,6
B01469,"BROTHERS CAR SERVICE, INC.",,2018,10,October,"6,648",0,50
B03359,VJVM CAR SERVICE INC,,2021,9,September,199,0,1
B01282,NEW LOTS C/S INC,,2020,5,May,"1,949",0,21
B01509,"BRUNWISH ENTERPRISES,LTD.",EASTLAND CAR SERVICE,2017,6,June,"22,907",0,91
B02599,CMS LIMO INC.,,2018,9,September,520,0,10
B02574,"MTC LIMOUSINE & CORPORATE COACH,INC.",,2016,4,April,"1,671",0,58
B02980,ADVANTAGE LIMO OF NY INC,,2018,12,December,193,0,6
B02106,"PERFECT LIMO SERVICE, INC.",,2019,9,September,9,0,4
B03023,HERMANY LIMO TRANSPORTATION LLC,,2020,8,August,968,0,7
B02184,"DMCLS, INC.",,2018,3,March,212,0,6
B03074,BLACKBIRD WORLDWIDE CORP,,2018,3,March,570,0,14
B02612,GOLDEN LUXURY TRANSPORTATION INC.,,2016,10,October,364,0,12
B02825,GUADALUPANA II CAR & LIMO INC,,2019,9,September,"3,704",0,18
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,2016,2,February,"3,117",0,56
B00639,ROCAPULCO CAR SERVICE INC.,,2018,4,April,"2,276",0,10
B02536,SEAGULL RIDE CORP,,2018,2,February,"2,197",0,9
B02839,YERUSHALAYIM CAR&LIMO INC,,2019,10,October,281,0,3
B02975,LI YANG LIMOUSINE INC,,2020,7,July,"1,842",0,13
B01341,A NEW DAY RAD DISP INC,,2019,2,February,"1,720",0,16
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,2015,5,May,"4,093",0,168
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",2021,10,October,75,0,8
B02853,SAFE RIDES CAR & LIMO SERVICES INC,,2019,2,February,31,0,5
B01413,SFL INC,,2020,3,March,800,0,41
B02285,"VALERA GLOBAL, INC.",,2016,6,June,"4,834",0,95
B00009,T-D MAINTENANCE,FOUR ONES CAR SERVICE,2021,9,September,"1,315",0,14
B01821,EMPIRE TRANSPORTATION SERVICE INC.,,2018,11,November,"1,154",0,7
B02886,PRINCE LUXURY CORP.,,2015,12,December,116,0,4
B01726,SUPER CLASS RADIO DISP INC,,2018,10,October,"8,015",0,57
B00375,THE EXCELLENT C/S INC,,2017,8,August,"11,248",0,62
B02331,"CHICO EXPRESS LIMO, INC.",,2018,8,August,"1,524",0,6
B02373,QUIET SERVICES INC,GOLDEN CLASS LIMO,2021,6,June,26,0,1
B00445,JOE M LEASING CORP,FOUR TWO'S PVT C/S,2021,6,June,"4,822",0,15
B00227,"PARK WEST EXEC. SERVICES, INC.",TOWN CARS,2017,11,November,"7,613",0,139
B02228,SPECIAL RADIO DISP.CORP.,,2020,2,February,14,0,5
B02228,SPECIAL RADIO DISP.CORP.,,2017,2,February,"2,131",0,20
B02899,NEW BLACK LUXURY CARS CORP,,2018,12,December,"14,199",0,44
B03040,ZYT EXPRESS CORP.,,2017,6,June,662,0,10
B00401,TREMONT DISPATCHING CORP,,2019,6,June,151,0,4
B02723,CHARLIE BLACK CAR INC.,,2017,6,June,"5,217",0,135
B02860,EVERY WHERE LIMO SERVICE INC.,,2021,3,March,160,0,9
B02331,"CHICO EXPRESS LIMO, INC.",,2018,10,October,"1,392",0,4
B02110,"OPTIMUM CAR & LIMO, INC.",,2016,5,May,"1,702",0,9
B03028,CASTILLO CAR & LIMO INC,,2019,7,July,970,0,8
B02138,"GUADALUPANA CAR LIMO, INC",,2021,7,July,"3,170",0,13
B01444,REGO PARK EXPRESS INC.,,2018,5,May,"2,293",0,18
B02331,"CHICO EXPRESS LIMO, INC.",,2016,7,July,"4,928",0,19
B00411,FONE-A-CAR INC,,2021,1,January,398,0,111
B01349,CAPRICORN LIMO SVC INC,,2020,7,July,105,0,4
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,2018,5,May,"2,290",0,12
B03126,YUR DRIVERS NETWORK INC,,2021,7,July,450,0,8
B00021,MEXICANA HIGH CLASS INC.,CAPITAL CAR SERVICE,2015,11,November,"11,623",0,70
B01742,"AVALON TRANSPORTATION, LLC",,2021,8,August,289,0,12
B00937,RIVERSIDE RADIO DISPATCHER,,2016,5,May,"62,547",0,306
B02677,"A.T.B. CAR AND LIMOUSINE SERVICE, INC.",,2015,11,November,"17,928",0,94
B03124,MARR LIMO LLC,,2018,12,December,273,0,4
B02756,ALLY CAR SERVICE LLC,ACTIVE EXPRESS CAR & LIMO 2,2019,12,December,442,0,9
B01616,"H & B CAR AND LIMOUSINE, INC",SUNNYSIDE CAR SERVICE,2016,4,April,"4,958",0,52
B01339,R C AUDUBON SVC INC,,2019,6,June,"9,164",0,66
B01625,GLOBE CAR SERVICE INC,,2017,2,February,"1,894",0,5
B02695,SEE USA TOURS INC.,,2015,11,November,217,0,4
B02517,LOS PAISANOS LUXURY C/S INC.,,2021,7,July,98,0,3
B02925,SIGNATURE BLACK CAR LLC,,2018,4,April,320,0,14
B01537,S.I. SPEED INC.,,2020,10,October,"1,035",0,3
B00056,TRANSIT PRIVATE CAR SERVICE INC.,,2018,11,November,"1,635",0,25
B02852,OP CAR SERVICE INC.,,2017,9,September,608,0,8
B01923,"AVID INTERNATIONAL, INC.",,2016,5,May,"1,051",0,18
B01311,DISCOUNT CAR SVCE,,2020,12,December,356,0,4
B01091,A & R GOLDEN EXP INC,,2019,12,December,"3,233",0,6
B03200,L & J LOGISTICS CORP.,,2020,9,September,311,0,8
B01016,810 CAR SVCE CORP,,2021,10,October,"7,472",0,34
B01989,"ICS-NY, INC.",,2018,4,April,532,0,18
B01215,ECUADOOR CORP,,2017,12,December,"12,759",0,54
